global_step,seed,method,env_id,mean_episode_reward,std_episode_reward,mean_success_rate,std_success_rate,mean_episode_length,label,experiment,source_path
40000,0,sac_her,FetchPush-v3,-47.5,10.897247358851684,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
50000,0,sac_her,FetchPush-v3,-50.0,0.0,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
60000,0,sac_her,FetchPush-v3,-50.0,0.0,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
70000,0,sac_her,FetchPush-v3,-50.0,0.0,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
80000,0,sac_her,FetchPush-v3,-47.5,10.897247358851684,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
90000,0,sac_her,FetchPush-v3,-45.0,15.0,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
100000,0,sac_her,FetchPush-v3,-44.75,14.956186011146023,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
110000,0,sac_her,FetchPush-v3,-47.5,10.897247358851684,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
120000,0,sac_her,FetchPush-v3,-44.55,14.978234208343784,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
130000,0,sac_her,FetchPush-v3,-47.5,10.897247358851684,0.05,0.2179449471770336,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
